province,latitude,longitude
Seoul,37.576805,127.005982
Busan,35.21628,129.077074
Daegu,35.840075,128.566663
Sejong,36.480247,127.289036
Gyeonggi-do,37.237603,127.051681
Chungcheongbuk-do,36.824218,127.955216
Chungcheongnam-do,36.815028,127.113861
Gyeongsangbuk-do,35.64887,128.736818
Gyeongsangnam-do,35.685561,127.912735
Incheon,37.4631,126.631371
Gwangju,35.175661,126.818743
Daejeon,36.350413,127.384432
Ulsan,35.539544,129.311292
Gangwon-do,37.68365,129.043829
Jeollabuk-do,35.955681,126.711961
Jeollanam-do,34.996485,126.387447
Jeju-do,33.49948,126.531021
