,Element,Latitude,Longitude,Radius,Opacity,Time,Color
0,L1,18.969611,4.788837,0.0,0.32,0:00:00,#FC766AFF
1,I1,19.015384,4.758968,0,0,0:00:00,#FFFFFF
2,L1,18.969611,4.788837,0,0,0:00:01,#FFFFFF
3,I1,19.015384,4.758968,0,0,0:00:01,#FFFFFF
4,L1,18.969611,4.788837,61.395348837209305,0.3,0:00:02,#FC766AFF
5,I1,19.015384,4.758968,0,0,0:00:02,#FFFFFF
6,L1,18.969611,4.788837,0,0,0:00:03,#FFFFFF
7,I1,19.015384,4.758968,0,0,0:00:03,#FFFFFF
8,L1,18.969611,4.788837,122.79069767441861,0.27999999999999997,0:00:04,#FC766AFF
9,I1,19.015384,4.758968,0,0,0:00:04,#FFFFFF
10,L1,18.969611,4.788837,0,0,0:00:05,#FFFFFF
11,I1,19.015384,4.758968,0,0,0:00:05,#FFFFFF
12,L1,18.969611,4.788837,184.18604651162792,0.25999999999999995,0:00:06,#FC766AFF
13,I1,19.015384,4.758968,0,0,0:00:06,#FFFFFF
14,L1,18.969611,4.788837,0,0,0:00:07,#FFFFFF
15,I1,19.015384,4.758968,0,0,0:00:07,#FFFFFF
16,L1,18.969611,4.788837,245.58139534883722,0.23999999999999996,0:00:08,#FC766AFF
17,I1,19.015384,4.758968,0,0,0:00:08,#FFFFFF
18,L1,18.969611,4.788837,0,0,0:00:09,#FFFFFF
19,I1,19.015384,4.758968,0,0,0:00:09,#FFFFFF
20,L1,18.969611,4.788837,306.9767441860465,0.21999999999999997,0:00:10,#FC766AFF
21,I1,19.015384,4.758968,0,0,0:00:10,#FFFFFF
22,L1,18.969611,4.788837,0,0,0:00:11,#FFFFFF
23,I1,19.015384,4.758968,0,0,0:00:11,#FFFFFF
24,L1,18.969611,4.788837,368.37209302325584,0.19999999999999998,0:00:12,#FC766AFF
25,I1,19.015384,4.758968,0,0,0:00:12,#FFFFFF
26,L1,18.969611,4.788837,0,0,0:00:13,#FFFFFF
27,I1,19.015384,4.758968,0,0,0:00:13,#FFFFFF
28,L1,18.969611,4.788837,429.7674418604651,0.18,0:00:14,#FC766AFF
29,I1,19.015384,4.758968,0,0,0:00:14,#FFFFFF
30,L1,18.969611,4.788837,0,0,0:00:15,#FFFFFF
31,I1,19.015384,4.758968,0,0,0:00:15,#FFFFFF
32,L1,18.969611,4.788837,491.16279069767444,0.16,0:00:16,#FC766AFF
33,I1,19.015384,4.758968,0,0,0:00:16,#FFFFFF
34,L1,18.969611,4.788837,0,0,0:00:17,#FFFFFF
35,I1,19.015384,4.758968,0,0,0:00:17,#FFFFFF
36,L1,18.969611,4.788837,552.5581395348837,0.14,0:00:18,#FC766AFF
37,I1,19.015384,4.758968,0,0,0:00:18,#FFFFFF
38,L1,18.969611,4.788837,0,0,0:00:19,#FFFFFF
39,I1,19.015384,4.758968,0,0,0:00:19,#FFFFFF
40,L1,18.969611,4.788837,613.953488372093,0.12000000000000001,0:00:20,#FC766AFF
41,I1,19.015384,4.758968,0.0,0.32,0:00:20,#FC766AFF
42,L1,18.969611,4.788837,0,0,0:00:21,#FFFFFF
43,I1,19.015384,4.758968,0,0,0:00:21,#FFFFFF
